# Launch date,Name,COSPAR ID,End date,Flyby date,Orbit insertion,Enter atmosphere,Landing date,Space Agency,Objective,In-play score,Final score,Successfully reached orbit,Successfully left orbit,Successful flyby?,Successful orbiter?,Successful atmosphere probe?,Successful lander?,Successful rover?,Link,Report,Reporter,Notes
1938-10-31T00:45:00,Martian Invasion Fleet,,1938-10-31T00:45:00,,,,,mars,earth,,0-0,,,,,,,,http://www.waroftheworlds.org/,"Various scattered reports detail an invasion force of hundreds at Grovers Mill, NJ from Mars on 1938 October 31 around 01:50:00 UTC. Unfortunately, these reports are unsubstantiated; but even if true, the landers don't appear to have left with any information.<br /><br />Scientists at Yoyodyne Propulsion Systems were unavaliable for comment.","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>",
1975-09-09T18:39:00,Viking 2,1975-083A,1980-04-11,,1976-08-07,,1976-09-03,earth-nasa,mars,,1-0,TRUE,TRUE,,,,1,,,"Again, a very famous play. Orbit on 1976 Aug 07 and a soft landing on September 03.","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>",Landed on September 03.
1977-08-20T14:29:00,Voyager 2,1977-076A,,1979-07-09,,,,earth-nasa,jupiter,,1-0,TRUE,TRUE,1,,,,,,"Several months after launch, in April 1978, Voyager 2's primary radio receiver failed, automatically kicking in the backup receiver which proved to be faulty. Attempts to recover the use of the primary receiver failed and the backup receiver was used for the remainder of the mission. Although use of the backup receiver made communication with the spacecraft more difficult, engineers were able to find workarounds. During the Jupiter fly-by Voyager 2 acquired around 18000 images.",Stuart Lowe,"Despite failures in the radio receiver, Voyager 2 acquired around 18000 images during the Jupiter fly-by."
1977-08-20T14:29:00,Voyager 2,1977-076A,,1981-08-26,,,,earth-nasa,saturn,,1-0,TRUE,TRUE,1,,,,,,During the fly-by Voyager 2 acquired roughly 16000 images.,Stuart Lowe,During the fly-by Voyager 2 acquired roughly 16000 images.
1977-08-20T14:29:00,Voyager 2,1977-076A,,1986-01-24,,,,earth-nasa,uranus,,1-0,TRUE,TRUE,1,,,,,,"Voyager 2 was successfully able to obtain about 8,000 images of Uranus and its satellites.",Stuart Lowe,Obtained about 8000 images of Uranus and its satellites.
1977-08-20T14:29:00,Voyager 2,1977-076A,,1989-08-25,,,,earth-nasa,neptune,,1-0,TRUE,TRUE,1,,,,,,"Following on from the success of the previous matches on its tour, Voyager 2 secures another win. Improvements in the on-board software and use of image compression techniques allowed about 10,000 images of Neptune and its satellites to be taken.",Stuart Lowe,"Around 10,000 images of Neptune and its satellites were taken."
1977-09-05T12:56:00,Voyager 1,1977-084A,,1979-03-05,,,,earth-nasa,jupiter,,1-0,TRUE,TRUE,1,,,,,,"Some 18,000 images of Jupiter and its satellites were taken by Voyager 1.",Stuart Lowe,"Around 18,000 images of Jupiter and its satellites were taken."
1977-09-05T12:56:00,Voyager 1,1977-084A,,1980-11-12,,,,earth-nasa,saturn,,1-0,TRUE,TRUE,1,,,,,,"Roughly 16,000 images of Saturn, its rings and satellites were obtained.",Stuart Lowe,"Roughly 16,000 images of Saturn, its rings and satellites were obtained."
1978-05-20T13:13:00,Pioneer Venus Orbiter,1978-051A,1992-10-08,,1978-12-04,,,earth-nasa,venus,,1-0,TRUE,TRUE,,1,,,,,This orbiter arrived at Venus on 1978 December 4. It performed a number of measurements until 1980 July when it went into a state of hibernation. It was re-animated in 1991 to let the radar mapper investigate previously inaccessible southern portions of the planet.<br /><br />In 1992 August the orbiter's fuel ran out and it was destroyed upon entering the Venusian atmosphere.,"<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>",Arrived at Venus on 1978 December 4. It performed measurements until 1980 July. It was re-animated in 1991 to map previously inaccessible southern portions of the planet. In 1992 it was destroyed upon entering the Venusian atmosphere.
1978-08-08T07:33:00,Pioneer Venus Multiprobe,1978-078A,1978-12-09T20:22:55,,1978-11-16,1978-12-09T18:45:32,1978-12-09T19:39:53,earth-nasa,venus,,5-0,TRUE,TRUE,,1,,4,,,"This five-piece bus/multiprobe arrived at Venus and, on 1978 November 16, the four probes (named ""Large,"" ""North,"" ""Day,"" and ""Night"") all entered the atmosphere at about 18:50 and impacted the planet's surface at about 19:45. The Day probe continued transmitting for an additional 68 minutes after impact before loss of signal.<br /><br />The bus was targeted to enter the Venusian atmosphere at a shallow angle and transmit data to Earth; but with no heat shield or parachute, the bus survived and made measurements only to about 110 km altitude before burning up.","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>","Four probes (named ""Large,"" ""North,"" ""Day,"" and ""Night"") all entered the atmosphere at about 18:50 and impacted the planet's surface at about 19:45. The Day probe continued transmitting for an additional 68 minutes after impact before loss of signal."""
1978-09-09T03:25:39,Venera 11,1978-084A,1978-12-25T05:17:00,,,1978-12-25,1978-12-25T03:42,earth-soviet,venus,,2-0,TRUE,TRUE,,1,,1,,,"This flight platform/lander pair arrived at Venus on 1978 December 25. The lander separated from the platform and decended into the atmosphere as the platform continued past Venus in a heliocentric orbit. The platform acted as a data relay for the lander for 95 minutes.<br /><br />The lander made a soft landing (if you can call 7.5 m/s ""soft"") at 06:24 Moscow time and transmitted data on the atmosphere, soil conditions and other phenomenon (lighting and thunder!) until the platform went out of range.","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>","The lander transmitted for 95 minutes. Returned data on the atmosphere, soil conditions and other phenomenon (lighting and thunder!)."
1978-09-14T02:25:13,Venera 12,1978-086A,1980-03-19,1978-12-21,,,1978-12-21T03:30,earth-soviet,venus,,2-0,TRUE,TRUE,1,,,1,,,"Identical to its sister craft, Venera 11, Venera 12 flew past Venus on 1978 December 21 at the target range of 34,000 km and continued past the planet in a heliocentric orbit, just like its sister craft would four days later. It relayed data from the lander for 110 minutes until it flew out of range.","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>","Flew past Venus on 1978 December 21 at the target range of 34,000 km and relayed data from the lander for 110 minutes."
1981-10-30T06:04:00,Venera 13,1981-106D,1982-03-01,1982-03-01,,,1982-03-01,earth-soviet,venus,,2-0,TRUE,TRUE,1,,,1,,,"Arriving on 1982 March 1, the lander plunged into the Venusian atmosphere and relayed its data to the platform which, like the previous missions, flew past Venus into a heliocentric orbit. The lander survived an amazing 127 minutes at 457C and 84 atmospheres.<br /><br />This is the lander which sent home the <a href=""http://nssdc.gsfc.nasa.gov/imgcat/html/object_page/v13_vg261_262.html""> image</a> most people remember.","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>",The lander survived 127 minutes.
1981-11-04T05:31:00,Venera 14,1981-110D,1982-03-05,1982-03-05,,,1982-03-05,earth-soviet,venus,,2-0,TRUE,TRUE,1,,,1,,,"Four days after Venera 13, Venera 14 dropped off its lander as it flew past the planet in a heliocentric orbit. The lander survived for 57 minutes at 465C and 94 atmospheres approximately 950 km southwest of Venera 13.","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>",The lander survived for 57 minutes.
1983-06-02T02:38:39,Venera 15,1983-053A,1984-07-01,,1983-10-10,,,earth-soviet,venus,,1-0,TRUE,TRUE,,1,,,,,"This orbiter, in conjunction with Venera 16, mapped the planet from the north pole to 30 degrees north latitude over its eight month operating life.","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>",Mapped the planet from the north pole to 30 degrees north latitude over 8 months.
1983-06-07T00:00:00,Venera 16,1983-054A,1984-07-01,,1983-10-11,,,earth-soviet,venus,,1-0,TRUE,TRUE,,1,,,,,"This orbiter, in conjunction with Venera 15, mapped the planet from the north pole to 30 degrees north latitude over its eight month operating life.","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>",Mapped the planet from the north pole to 30 degrees north latitude over 8 months.
1984-12-15T09:16:24,Vega 1,1981-106D,1987-01-30,1985-06-11,,,1985-06-11,earth-soviet,venus,,2-0,TRUE,TRUE,1,,,1,,,The descent module landed on 1985 June 11 but only the mass spectrometer was able to return data. The flyby probe continued on to flyby Comet Halley,Stuart Lowe,
1984-12-15T09:16:24,Vega 1,1981-106D,1987-01-30,1986-03-06T07:20:06,,,,earth-soviet,Comet Halley,,,TRUE,TRUE,1,,,1,,,,,
1984-12-21T09:13:52,Vega 2,1984-128A,1987-03-24,1985-06-15,,,1985-06-15T03:00:50,earth-soviet,venus,,2-0,TRUE,TRUE,1,,,,,,"A twin of Vega 1, this mission arrived on 1985 June 15 and transmitted data from the surface for 56 minutes. The flyby mission continued on to Comet Halley",Stuart Lowe,
1984-12-21T09:13:52,Vega 2,1984-128A,1987-03-24,1986-03-07T07:20,,,,earth-soviet,Comet Halley,,1-0,TRUE,TRUE,1,,,,,,,,
1988-07-07T17:38:04,Phobos 1,1988-058A,1988-09-02,,,,,earth-soviet,mars,,0-1,TRUE,TRUE,-1,,,,,,"Phobos 1 operated nominally until an expected communications session on September 02 failed to occur. The failure of controllers to regain contact with the spacecraft was traced to an error in the software uploaded on August 29/30 which had deactivated the attitude thrusters. This resulted in a loss of lock on the Sun, causing the spacecraft to orient the solar arrays away from the Sun and deplete the batteries.","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>",
1988-07-12T17:01:43,Phobos 2,1988-059A,1989-03-27,,1989-01-29,,,earth-soviet,mars,,1-1,TRUE,TRUE,,1,,-1,,,"In this oh-so-close play, Phobos 2 collected some useful data upon approach to one of the red planet's moons. Shortly before the final phase of the mission, during which the spacecraft was to approach within 50 m of Phobos' surface and release two landers, one a mobile `hopper', the other a stationary platform, contact with Phobos 2 was lost. Were it not for the earlier data collection, this play would have been lost.","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>",
1989-05-04T18:46:59,Magellan,1989-033B,1994-10-13,,1990-08-07,,,earth-nasa,venus,,1-0,TRUE,TRUE,,1,,,,,The Venus Radar Mapper project,,
1989-10-18T22:23:00,Galileo,1989-084B,2003-09-21T18:57:00,1990-02-10,,,,earth-nasa,venus,,1-0,TRUE,TRUE,1,,,,,,Venus flyby/Jupiter orbiter,,
1989-10-18T22:23:00,Galileo,1989-084B,2003-09-21T18:57:00,1991-10-29,,,,earth-nasa,(951) Gaspra,,1-0,TRUE,TRUE,1,,,,,,,,
1989-10-18T22:23:00,Galileo,1989-084B,2003-09-21T18:57:00,1993-08-28,,,,earth-nasa,(243) Ida,,1-0,TRUE,TRUE,1,,,,,,,
1989-10-18T22:23:00,Galileo,1989-084B,2003-09-21T18:57:00,,,1995-12-07T22:04,,earth-nasa,jupiter,,2-0,TRUE,TRUE,,1,1,,,,"The Galileo Probe was an atmospheric entry probe carried by the main spacecraft to Jupiter, where it directly entered and returned data from the planet.",Stuart Lowe
1990-10-06T11:47:16,Ulysses,1990-090B,2009-06-30,1992-02-08T12:02:00,,,,earth-esa,jupiter,,1-0,TRUE,TRUE,1,,,,,,"Due to the loss of Challenger, the launch of Ulysses was delayed until October 6, 1990 aboard Discovery (mission STS-41). The mission was to study the Sun but included a Jupiter fly-by. During the fly-by the spacecraft studied Jupiter's magnetosphere.",Stuart Lowe
1992-09-25T17:05:01,Mars Observer,1992-063A,1993-08-21,,1993-08-21,,,earth-nasa,mars,,0-1,TRUE,TRUE,,-1,,,,,"After all we have come to expect from this player, Mars Observer makes it all the way to Mars orbit insertion. After it was asked to pressurize a fuel tank...<br /><br />""In space, noone can hear you go <B>BOOM</B>""","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>"
1996-11-07T17:00:50,Mars Global Surveyor,1996-062A,2006-11-02,,1997-09-12,,,earth-nasa,mars,,1-0,TRUE,TRUE,,1,,,,,"A fine recovery after the last ""oops."" Began orbiting Mars on 1997 Sep 12.<br /><br />2005-05-10: Over eight years after launch, it is possible that Global Surveyor has <a href=""http://skyandtelescope.com/news/article_1509_1.asp""> found the wreckage of Mars Polar Orbiter on Mars</a>.<br /><br /> 2006-11-02: MGS notified Earth that it had trouble adjusting the position of one of its two solar panels. It has not been heard from since, except for a very weak signal on 2006-11-05. The failure to position the solar panel properly may have left the spacecraft with too little power to transmit a signal to Earth.<br /><br />Even if MGS is dead, it will continue orbiting Mars for decades to come. But its orbit will decay, causing it to plunge into Mars' atmosphere sometime around 2046. (from <a href=""http://space.newscientist.com/article/dn10638-mars-probe-probably-lost-forever.html"">NewScientist</a>).","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>"
1996-11-16T20:48:53,Mars 96,1996-064A,1996-11-17T00:45,,,,,earth-roscosmos,mars,,0-1,TRUE,FALSE,,,,,,,"A swing and a miss. The spacecraft was launched into Earth orbit, but failed to achieve insertion into Mars cruise trajectory and re-entered the Earth's atmosphere at about 00:45 to 01:30 UT on November 17 and crashed within a presumed 320 km by 80 km area which includes parts of the Pacific Ocean, Chile, and Bolivia. The cause of the crash is not known.","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>"
1996-12-04T06:58:00,Mars Pathfinder,1996-068A,1997-09-27T10:23:00,,,,1997-07-04T16:56:55,earth-nasa,mars,,1-0,TRUE,TRUE,,,,1,,,,
1997-10-15T08:43:00,Cassini,1997-061A,,1998-04-26T00:00:00,,,,earth-nasa,venus,,1-0,TRUE,TRUE,1,,,,,http://saturn.jpl.nasa.gov/,"Cassini was the largest interplanetary spacecraft ever constructed by NASA. It had two fly-bys of Venus on April 26, 1998, and June 24, 1999. Science instruments on the spacecraft searched for lightning in Venus' atmosphere during the flyby, and the radar instrument onboard was activated to test a bounced signal off Venus' surface.",Stuart Lowe
1997-10-15T08:43:00,Cassini,1997-061A,,,2000-12-30T00:00:00,,,earth-nasa,jupiter,,1-0,TRUE,TRUE,,1,,,,http://saturn.jpl.nasa.gov/,Cassini was the largest interplanetary spacecraft ever constructed by NASA.,Stuart Lowe
1997-10-15T08:43:00,Cassini,1997-061A,,,2004-07-01T00:00:00,,,earth-nasa,saturn,,1-0,TRUE,TRUE,,1,,,,http://saturn.jpl.nasa.gov/,Cassini was the largest interplanetary spacecraft ever constructed by NASA. Cassini successfully entered Saturn orbit in 2004 returning many thousands of images.,Stuart Lowe
1997-10-15T08:43:00,Huygens,1997-061A,,,,,2005-01-14T00:00:00,earth-esa,titan,,1-0,TRUE,TRUE,,,,1,,,"Huygens was released from the Cassini orbiter at 02:00 UTC on December 25, 2004 and reached the surface of Saturn's largest moon - Titan - on 14 January 2005 taking measurements during the descent and images of the surface. Huygens secured Earth's second goal in this match.",Stuart Lowe
1998-07-03T18:12:00,Nozomi (Planet-B),1998-041A,2003-12-14,,,,,earth-jaxa,mars,,0-1,TRUE,TRUE,,,,,,,"In what can only be called the wildest interplanetary fumble in the known universe, the Earth takes yet another swipe across the nose. On December 20, the spacecraft attempted to use gravitational assist from an Earth flyby to put it on a course for Mars. Unfortunately, a malfunctioning valve wasted fuel and caused the spacecraft to miss its trajectory. The two necessary course corrections expended further fuel. In an attempt to save the play, it was decided to allow the spacecraft to remain in orbit around the sun for four years when a lower velocity trajectory would be avaliable. However, on 2002 April 21, powerful solar flares damaged the spacecraft's onboard communications and power systems. An electrical short then shut down the heaters causing the hydrazine fuel to freeze. When the spacecraft returned for another Earth swing-by on 2003 June 19, the fuel was thawed out. Another attempt was made to put it back on course for Mars, but the main thruster orbital insertion burn failed on December 9.<br /><br />And Mars replied: ""All your base are belong to us.""","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>"
1998-12-10T18:45:51,Mars Climate Orbiter,1998-073A,1999-09-23T09:06:00,,,,,earth-nasa,mars,,0-1,TRUE,TRUE,,-1,,,,,"Yes folks, it's true. Not all of Earth's players use the same units for measurement. Engineers in the USA calculated trajectory-correction burns in pounds/second and the spacecraft was programmed to accept the numbers as newtons/second. These burns were occuring 12-14 times per week.<br /><br />I think it's time for a certain country to get with the program, don't you?","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>"
1999-01-03T20:21:10,Mars Polar Lander,1999-001A,,,,1999-12-03T20:10:00,,earth-nasa,mars,,0-1,TRUE,TRUE,,,,-1,,,Marty took a very good pot-shot at this lander. The last telemetry from Mars Polar Lander was sent just prior to atmospheric entry on 3 December.,"<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>"
2001-04-07T15:02:22,Mars Odyssey,2001-014A,,,2001-10-24,,,earth-nasa,mars,,1-0,TRUE,TRUE,,1,,,,,The Odyssey orbiter made it to orbit on 2001 October 24.,
2003-06-02T17:45:00,Mars Express,2003-022A,,,2003-12-25T03:00,,2003-12-25T02:54,earth-esa,mars,,1-1,TRUE,TRUE,,1,,-1,,,"Mars Express fired its main thrusters on December 25 and successfully entered Mars orbit. The Beagle 2 lander, however, has not been heard from. This was a two-pronged mission which <i>did</i> successfully arrive and orbit Mars with the added bonus of dropping some luggage on the planet for later collection.<br /><br />In January 2015, observations from Mars Reconnaissance Orbiter showed Beagle 2 had landed on the surface but hadn't fully deployed. Still a score draw.","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a> with post-match reporting by Stuart Lowe"
2003-06-10T17:58:47,Spirit (MER-A),2003-027A,2010-03-22,,,,2004-01-04T04:35,earth-nasa,mars,,1-0,TRUE,TRUE,,,,,1,,"Showing team spirit, this rover landed on Mars on 2004 Jan 04. Eighteen days into the mission, Spirit had major trouble involving its flash memory and the software used to communicate with that memory. The problem was solved and Spirit continues to wander over the Martian surface.<br /><br />The rover became stuck in 2009 and final communication was on 22 March 2010.","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a> with additional reporting by Stuart Lowe"
2003-07-08T03:18:15,Opportunity (MER-B),2003-032A,,,,,2004-01-25T05:05,earth-nasa,mars,,1-0,TRUE,TRUE,,,,,1,,The lander arrived at the Meridiani Planum on Mars on Jan 25 05:05 UTC and... ITS A SCORE! We got pictures on Jan 25 09:12 UTC. By 28 July 2014 the rover had surpassed Lunokhod 2 as the rover that had travelled the furthest distance.,"<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a> with additional reporting by Stuart Lowe"
2004-03-02T07:17:00,Rosetta,2004-006A,,2007-02-25,,,,earth-esa,mars,,1-0,TRUE,TRUE,1,,,,,,"On its way to rendezvous and land on Comet 67 P/Churyumov-Gerasimenko, Rosetta <a href=""http://www.esa.int/SPECIALS/Rosetta/SEMUDT70LYE_0.html"">took some pretty amazing images of Mars</a> on 2007 Feb 25.<br /><br />Earth closes the gap yet another notch.","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a> with additional reporting by Stuart Lowe"
2004-03-02T07:17:00,Rosetta,2004-006A,,2008-09-05,,,,earth-esa,2867 Šteins,,1-0,TRUE,TRUE,1,,,,,,,
2004-03-02T07:17:00,Rosetta,2004-006A,,2010-07-10,,,,earth-esa,21 Lutetia,,1-0,TRUE,TRUE,1,,,,,,,
2004-03-02T07:17:00,Rosetta,2004-006A,,,2014-08-06T09:06,,,earth-esa,67P/Churyumov–Gerasimenko,,1-0,TRUE,TRUE,,1,,,,,,
2004-08-03T06:15:56,MESSENGER,2004-030A,,2006-10-24,,,,earth-nasa,venus,,1-0,TRUE,TRUE,1,,,,,,"Successfully launched and injected into solar orbit 57 minutes later. It peformed its Earth flyby on 2005 August 2 and will perform two Venus flybys on 2006 October 24 and 2007 June 6 before it moves on to <a href=""#mercury"">Mercury</a>.<br /><br />2006-10-24: MESSENGER came within 2,990 km of Venus and snapped pictures of the planet from a distance of about 16.5 million km.","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>"
2004-08-03T06:15:56,MESSENGER,2004-030A,,,2011-03-18T01:00:00,,,earth-nasa,mercury,,1-0,TRUE,TRUE,,1,,,,,"The second mission to Mercury in 31 years was successfully launched and inserted into solar orbit 57 minutes later. Earth flyby occurred on 2005 August 2 at 20:13 at a closest approach of 2347 km.<br /><br />As planned, on 2008 Jan 14, ""MESSENGER passed 200 kilometers above Mercury's surface. Extensive scientific observations were executed during this flyby encounter, including imaging a large portion of Mercury's surface that has never before been seen by a spacecraft."" Read more and see the data on the <a href=""http://messenger.jhuapl.edu/"">MESSENGER Website</a>.","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>"
2005-08-12T11:43:00,Mars Reconnaissance Orbiter,2005-029A,,,2006-03-10T21:24:00,,,earth-nasa,mars,,1-0,TRUE,TRUE,,1,,,,http://marsprogram.jpl.nasa.gov/mro/,"Here's our next chance to close the gap... A successful launch from Complex 41 at Cape Canaveral was a good way to start. Earth is heading for a winning streak we haven't seen since the 1970s. 2006 March 10 20:16 Earth re-estabilished communications with the orbiter once it entered Mars orbit. While I have no doubts that this will be another score for Earth.... why no snap-shots yet? 2006 March 24 <B>WE GOT IMAGES!</B> A fine showing for this decade. Will we keep up the winning streak? The factsheet states that the next six months will be used to modify the polar orbit into a near-circle (255 km periapsis over the south pole and 320 km apoapsis over the north pole) with a period of 112 minutes. ``There will be twelve sun-synchronous orbits per day so that the orbiter will always see the ground at 3:00 p.m. local time at the equator. Science operations will take place nominally from the end of solar conjunction in November 2006 to the start of the next solar conjunction in November 2008, roughly one martian year. Total cost of the mission is estimated at about $720 million.""","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>"
2005-11-09T03:33:00,Venus Express,2005-045A,,,2006-06-11T00:00:00,,,earth-esa,venus,,1-0,TRUE,TRUE,,1,,,,,"The twin sister of Mars Express, this mission is set to study the atmosphere and plasma environment of Venus. After being postponed a week due to contamination of the launch fairing, Venus Express left from the Baikonur Cosmodrome in Kazakhstan. Venus orbit insertion should occur on 2006 April 6 where it will be placed into a 250 x 66,000 km polar orbit. The mission is scheduled to last only two Venusian siderial days.","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>"
2006-01-17T19:00:00,New Horizons,2006-001A,,2006-06-13T04:05,,,,earth-nasa,(132524) APL,,1-0,TRUE,TRUE,1,,,,,http://pluto.jhuapl.edu/,,
2006-01-17T19:00:00,New Horizons,2006-001A,,2007-02-28T05:43:40,,,,earth-nasa,jupiter,,1-0,TRUE,TRUE,1,,,,,http://pluto.jhuapl.edu/,"On the way to play against Pluto, New Horizons took observations of Jupiter between September 2006 and March 2007. While at Jupiter, New Horizons' instruments made refined measurements of the orbits of Jupiter's inner moons, particularly Amalthea. The probe's cameras measured volcanoes on Io, studied all four Galilean moons as well as the outer moons Himalia and Elara. It also studied Jupiter's Little Red Spot. Not bad for a speedy fly-by.",Stuart Lowe
2006-01-17T19:00:00,New Horizons,2006-001A,,2015-07-14T11:49:57,,,,earth-nasa,pluto,,1-0,TRUE,TRUE,TRUE,,,,,http://pluto.jhuapl.edu/,"The first match between Pluto and Earth began in 2006 Jan and ran until Pluto flyby on 2015 July 14. During the flyby large numbers of images and measurements were successfully taken of Pluto and its moons and returned to Earth with the <a href=""https://instagram.com/p/5HTXKMoaFL/?taken-by=nasa"">last pre-flyby image appearing on Instagram</a>. Following the flyby, New Horizons heads deeper into the Kuiper Belt to investigate other objects.",Stuart Lowe
2007-08-04T10:00:00,Phoenix,2007-034A,2008-11-10,,,,2008-05-25T23:53,earth-nasa,mars,,1-0,TRUE,TRUE,,,,1,,http://phoenix.lpl.arizona.edu/,"The Phoenix Mars Mission is the first in NASA's Scout Program. Phoenix is designed to study the history of water and habitability potential in the Martian arctic's ice-rich soil. Phoenix proved to be immensly popular off the pitch too becoming one of the <a href=""https://twitter.com/marsphoenix"">first spacecraft on Twitter</a>.","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a> with additional reporting by Stuart Lowe"
2007-09-27T11:34:00,Dawn,2007-043A,,2009-02-17T00:00:00,,,,earth-nasa,mars,,1-0,TRUE,TRUE,1,,,,,,Actually designed to rendezvous and orbit the asteroids 4 Vesta and 1 Ceres. After initially being cancelled it was rescheduled for launch in 2007. During the crucial Mars gravity assist in February 2009 the spacecraft placed itself in safe mode due to a software programming error. Despite the setback the mission did get images of Mars during the flyby.,"<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>"
2007-09-27T11:34:00,Dawn,2007-043A,,,2011-07-16T04:47,,,earth-nasa,Vesta,,1-0,TRUE,TRUE,1,,,,,,,
2007-09-27T11:34:00,Dawn,2007-043A,,,,,,earth-nasa,ceres,,1-0,TRUE,TRUE,,1,,,,,"Designed to rendezvous and orbit the asteroids 4 Vesta and 1 Ceres. After initially being cancelled it was rescheduled for launch in 2007. Scheduled to reach Ceres in 2015. On 2014 September 11 <a href=""http://phenomena.nationalgeographic.com/2014/09/17/cosmic-ray-delays-spacecraft-headed-for-dwarf-planet/"">a high-energy particle struck the spacecraft's electrical systems</a> putting it in safe mode. The spacecraft was restarted after 4 days. On 6 March 2015 at 12:39 GMT, Dawn was captured by the gravity of Ceres making it the first mission to achieve orbit of a dwarf planet. Dawn has provided <a href=""http://www.nasa.gov/press/2015/march/nasa-media-teleconference-today-on-first-spacecraft-to-successfully-enter-orbit/"">the most detailed images of Ceres</a> ever. Earth scores!",Stuart Lowe
2010-05-20T21:58:22,Akatsuki (Planet-C),2010-020D,,2010-12-06T23:49,,,,earth-jaxa,venus,,1-0,TRUE,TRUE,,,,,,http://www.nasa.gov/mission_pages/dawn/main/index.html,"In JAXA's second planetary league match (their first interplanetary match was against non-league competitor Comet Halley in 1985), Akatsuki began its orbital insertion rocket firing at 23:49 UTC, 06 December 2010. Ignition was confirmed before Akatsuki passed behind Venus for 22 minutes, but communications were not regained on schedule at 00:12 UT. Signals were finally received at 01:28 UT. It was determined that a faulty valve in the fuel pressure system malfunctioned and the engine firing scheduled for 9 minutes, 20 seconds only lasted about 152 seconds, so the spacecraft did not enter Venus orbit but instead flew by the planet. Akatsuki wasn't out of the game and made a valiant second attempt at orbit on December 6/7 2015. This attempt was successful and put Akatsuki in a 400 x 440,000km orbit around Venus. <a href=""http://global.jaxa.jp/press/2015/12/20151209_akatsuki.html"">Images were returned</a> by the 1&micro;m camera (IR1), the Longwave IR camera (LIR), and the Ultraviolet Imager (UVI). A late score in extra-time for Team Earth!",Stuart Lowe
2011-08-05T16:25:00,Juno,2011-040A,,,2016-07-05T02:50:00,,,earth-nasa,jupiter,,1-0,TRUE,TRUE,,,,,,http://nssdc.gsfc.nasa.gov/nmc/spacecraftDisplay.do?id=2011-040A,"Following almost five years of travel, Juno successfully achieved orbit in the early hours of 05 July 2016. After surviving its first pass through Jupiter's extreme radiation environment, Juno scored <a href=""http://www.jpl.nasa.gov/news/news.php?release=2016-185"">its first in-orbit view</a> on July 12th. The moon in the NASA camp is confident of more results over the next 37 orbits.",Stuart Lowe
2011-11-08T20:16:00,Phobos-Grunt,2011-065A,2012-01-15T00:00:00,,,,,earth-roscosmos,mars,,0-1,TRUE,FALSE,,,,,,,The Phobos-Grunt spacecraft did not perform its scheduled burn to begin its trajectory to Mars and could not leave Earth orbit. It re-entered Earth's atmosphere on 15 January 2012.,Stuart Lowe
2011-11-08T20:16:00,Yinghuo-1,2011-065A,2012-01-15T00:00:00,,,,,earth-cnsa,mars,,0-1,TRUE,FALSE,,,,,,,Launched with the Phobos-Grunt spacecraft this was China's debut match. Unfortunately Phobos-Grunt did not perform its scheduled burn to begin its trajectory to Mars and could not leave Earth orbit. It re-entered Earth's atmosphere on 15 January 2012.,Stuart Lowe
